"AssessmentDate","ControlId","ControlName","Category","ResourceType","ResourceName","ResourceGroup","Finding","Details","Recommendation","Criticality","Status"
"2026-02-02 14:38:11","DDOS-1,DDOS-2","DDoS Protection Plan","DDoS Protection","DDoS Protection Plan","N/A","N/A","No DDoS Protection plans found","DDoS Basic protection only (default)","Deploy DDoS Protection Standard plan and configure telemetry and alerts for advanced threat detection","High","Fail"
"2026-02-02 14:38:11","DDOS-1","DDoS Protection Standard","DDoS Protection","Virtual Network","vmsftpdemo-vnet","rg-sftp-poc","DDoS Protection Standard not enabled","VNet: vmsftpdemo-vnet - DDoS Standard not active","Enable Azure DDoS Protection Standard on critical VNets for layer 3-4 protection","High","Fail"
"2026-02-02 14:38:11","SEC-4","Public IP Address Usage","Additional Security","Public IP","nat-gw-public-ip","databricks-rg-adb-demo-nms-cbxthjrj7gfdw","Public IP addresses in use","Total public IPs: 2, Unassociated: ","Minimize public IP usage. Use Private Endpoints, Bastion, or NAT Gateway instead","Medium","Pass"
"2026-02-02 14:38:11","MON-6","Azure Sentinel Deployment","Network Monitoring","Azure Sentinel","N/A","N/A","Azure Sentinel not enabled","Advanced threat detection not configured","Enable Azure Sentinel on Log Analytics workspace for advanced threat detection and security analytics","Medium","Fail"
"2026-02-02 14:38:11","GOV-3","Resource Tagging Strategy","Governance","All Resources","Network Resources","Various","Tagging strategy needs improvement","Tagging compliance: 0% of sampled resources","Implement consistent tagging strategy for network resources (Owner, CostCenter, Environment, etc.)","Medium","Fail"
"2026-02-02 14:38:11","VPN-1","VPN Gateway Configuration","VPN & ExpressRoute","VPN Gateway","N/A","N/A","No VPN Gateways found","Zero VPN gateways in subscription","Deploy Azure VPN Gateway with encrypted tunnels for site-to-site or point-to-site connectivity","Medium","No Resources"
"2026-02-02 14:38:11","SEC-5","Availability Zones","Additional Security","Virtual Machine","N/A","N/A","No zone-redundant resources found","Resources may not have high availability","Deploy critical resources across Availability Zones for high availability","Medium","Fail"
"2026-02-02 14:38:11","FW-2","Firewall Manager Policies","Firewall","Firewall Policy","N/A","N/A","No Firewall policies configured","Firewall Manager not in use","Implement centralized firewall policy management using Azure Firewall Manager","Medium","Fail"
"2026-02-02 14:38:11","NS-4","Hub-and-Spoke Architecture","Network Segmentation","Virtual Network","vmsftpdemo-vnet","rg-sftp-poc","No hub-and-spoke pattern detected","VNet is isolated without peering relationships","Consider implementing hub-and-spoke for multi-VNet environments for centralized security and management","Medium","Fail"
"2026-02-02 14:38:11","NS-4","Hub-and-Spoke Architecture","Network Segmentation","Virtual Network","vnet-dm4-dev-eus","rg-dm4-dev-eus","No hub-and-spoke pattern detected","VNet is isolated without peering relationships","Consider implementing hub-and-spoke for multi-VNet environments for centralized security and management","Medium","Fail"
"2026-02-02 14:38:11","NS-4","Hub-and-Spoke Architecture","Network Segmentation","Virtual Network","workers-vnet","databricks-rg-adb-demo-nms-cbxthjrj7gfdw","No hub-and-spoke pattern detected","VNet is isolated without peering relationships","Consider implementing hub-and-spoke for multi-VNet environments for centralized security and management","Medium","Fail"
"2026-02-02 14:38:11","NSG-1","NSG Configuration","Network Security Groups","Network Security Group","vmsftpdemo-nsg","rg-sftp-poc","NSG not applied to any subnet","Orphaned NSG with no subnet associations","Associate NSG to appropriate subnets or delete unused NSGs","Medium","Fail"
"2026-02-02 14:38:11","SEC-2","User Defined Routes (UDRs)","Additional Security","Route Table","N/A","N/A","No custom route tables found","Default routing in use","Implement UDRs to control traffic flow through security appliances for defense-in-depth","Low","Fail"
"2026-02-02 14:38:11","DNS-1","Public DNS Zone Configuration","DNS Security","DNS Zone","N/A","N/A","No public DNS zones found","Consider using Azure DNS for domain management","For private services, use Private DNS zones (already checked in PE-5). Use Azure DNS for public zones","Low","Info"
"2026-02-02 14:38:11","NS-5","ASG Implementation","Network Segmentation","Application Security Group","N/A","N/A","No ASGs found","Consider using ASGs to simplify NSG rule management","Deploy ASGs to group VMs and simplify security rule configuration","Low","Fail"
"2026-02-02 14:38:11","VPN-2","ExpressRoute Gateway","VPN & ExpressRoute","ExpressRoute Gateway","N/A","N/A","No ExpressRoute Gateways found","ExpressRoute not implemented","Consider ExpressRoute for dedicated, private, and high-bandwidth connectivity to Azure","Low","No Resources"
"2026-02-02 14:38:11","GOV-1","Azure Policy for Network Security","Governance","Azure Policy","Network Policies","Various","Network security policies configured","Number of network-related policies: 630","Use Azure Policy to enforce network security requirements (NSG rules, firewall deployment, etc.)","Info","Pass"
"2026-02-02 14:38:11","NS-1","VNet Segmentation","Network Segmentation","Virtual Network","workers-vnet","databricks-rg-adb-demo-nms-cbxthjrj7gfdw","VNet exists: workers-vnet","Address space: 10.139.0.0/16, Subnets: 2","Verify subnets are organized by security zones (public, application, database, management)","Info","Pass"
"2026-02-02 14:38:11","NS-2","CIDR Subnetting","Network Segmentation","Subnet","private-subnet","databricks-rg-adb-demo-nms-cbxthjrj7gfdw","Subnet configured: private-subnet","Address prefix: 10.139.64.0/18, Associated resources: Present","Ensure CIDR blocks follow subnetting best practices and avoid overlapping address spaces","Info","Pass"
"2026-02-02 14:38:11","NS-2","CIDR Subnetting","Network Segmentation","Subnet","public-subnet","databricks-rg-adb-demo-nms-cbxthjrj7gfdw","Subnet configured: public-subnet","Address prefix: 10.139.0.0/18, Associated resources: Present","Ensure CIDR blocks follow subnetting best practices and avoid overlapping address spaces","Info","Pass"
"2026-02-02 14:38:11","NSG-1","NSG Configuration","Network Security Groups","Network Security Group","workers-sg","databricks-rg-adb-demo-nms-cbxthjrj7gfdw","NSG applied to subnets","Applied to 2 subnet(s)","Ensure all VNet subnets have NSGs (except GatewaySubnet, AzureFirewallSubnet)","Info","Pass"
"2026-02-02 14:38:11","NS-2","CIDR Subnetting","Network Segmentation","Subnet","snet-dm4-dev-eus","rg-dm4-dev-eus","Subnet configured: snet-dm4-dev-eus","Address prefix: 10.20.1.0/24, Associated resources: Present","Ensure CIDR blocks follow subnetting best practices and avoid overlapping address spaces","Info","Pass"
"2026-02-02 14:38:11","NS-2","CIDR Subnetting","Network Segmentation","Subnet","default","rg-sftp-poc","Subnet configured: default","Address prefix: 10.0.0.0/24, Associated resources: Present","Ensure CIDR blocks follow subnetting best practices and avoid overlapping address spaces","Info","Pass"
"2026-02-02 14:38:11","NS-1","VNet Segmentation","Network Segmentation","Virtual Network","vmsftpdemo-vnet","rg-sftp-poc","VNet exists: vmsftpdemo-vnet","Address space: 10.0.0.0/16, Subnets: 1","Verify subnets are organized by security zones (public, application, database, management)","Info","Pass"
"2026-02-02 14:38:11","NS-1","VNet Segmentation","Network Segmentation","Virtual Network","vnet-dm4-dev-eus","rg-dm4-dev-eus","VNet exists: vnet-dm4-dev-eus","Address space: 10.20.0.0/16, Subnets: 1","Verify subnets are organized by security zones (public, application, database, management)","Info","Pass"
"2026-02-02 14:38:11","MON-4","Log Analytics Configuration","Network Monitoring","Log Analytics Workspace","law-dm4-dev-eus-e5rja","rg-dm4-dev-eus","Log Analytics workspace configured","Number of workspaces: 2","Send all network logs (NSG flow logs, firewall logs, diagnostics) to Log Analytics for centralized monitoring","Info","Pass"
"2026-02-02 14:38:11","MON-1,CIS-6.4,CIS-6.6","Network Watcher Deployment","Network Monitoring","Network Watcher","NetworkWatcher_eastus","NetworkWatcherRG","Network Watcher enabled","Network Watchers in 4 region(s)","Ensure Network Watcher is deployed in all regions where resources are deployed","Info","Pass"
