"Status","Recommendation","Finding","ResourceGroup","AssessmentDate","Category","AssessmentType","Details","Criticality","ControlName","ResourceType","CISControlId","ResourceName"
"Fail","Enable 'Secure transfer required' setting in Storage Account configuration","HTTP traffic allowed","databricks-rg-adb-demo-nms-cbxthjrj7gfdw","2026-02-02 15:28:23","Storage Accounts","Automated","Secure transfer is not enforced","High","Secure Transfer Required","Storage Account","CIS 3.1","dbstoragefvj3eaaabzoqs"
"Requires Review","Enable Microsoft Defender for Storage for advanced threat protection","Defender plan: Storage","Subscription","2026-02-02 15:28:23","Microsoft Defender for Cloud","Manual","Status: Requires verification through Azure Portal","High","Microsoft Defender for Storage","Defender Plan","CIS 2.x","Storage"
"No Resources","If App Services exist, verify all CIS 9.x controls","No App Services found","N/A","2026-02-02 15:28:23","App Service","Automated","Zero App Services in subscription","Info","App Service Configuration","App Service","CIS 9.x","N/A"
"Pass","Continue using managed disks for all VMs","All VMs use managed disks","All","2026-02-02 15:28:23","Virtual Machines","Automated","All 1 VMs use managed disks","Info","Managed Disks","Virtual Machine","CIS 7.1","All VMs"
"Pass","Continue enforcing TLS 1.2 or higher for all connections","TLS 1.2 minimum enforced","rg-dm4-dev-eus","2026-02-02 15:28:23","Storage Accounts","Automated","Minimum TLS version: TLS1_2","Info","Minimum TLS Version","Storage Account","CIS 3.15","stdm4deveuse5rja"
"Pass","Continue enforcing TLS 1.2 or higher for all connections","TLS 1.2 minimum enforced","databricks-rg-adb-demo-nms-cbxthjrj7gfdw","2026-02-02 15:28:23","Storage Accounts","Automated","Minimum TLS version: TLS1_2","Info","Minimum TLS Version","Storage Account","CIS 3.15","dbstoragefvj3eaaabzoqs"
"Pass","Continue monitoring for unauthorized guest user access","No guest users found","N/A","2026-02-02 15:28:23","Identity & Access Management","Manual","Tenant is free of external guest accounts","Info","No Guest Users","User","CIS 1.3","N/A"
"No Resources","If SQL servers exist, verify all CIS 4.1.x and 4.2.x controls","No SQL Servers found","N/A","2026-02-02 15:28:23","Database Services","Automated","Zero SQL servers in subscription","Info","SQL Server Configuration","SQL Server","CIS 4.x","N/A"
"Pass","Continue monitoring NSG rules for compliance","No broad RDP access detected","All","2026-02-02 15:28:23","Networking","Automated","RDP (port 3389) is properly restricted","Info","RDP Access Restriction","NSG","CIS 6.1","All NSGs"
"Pass","Ensure Network Watcher is enabled in all regions where resources exist","Network Watcher enabled","NetworkWatcherRG","2026-02-02 15:28:23","Networking","Automated","Watchers in 4 region(s)","Info","Network Watcher","Network Watcher","CIS 6.4,CIS 6.5","NetworkWatcher_eastus"
"Pass","Continue monitoring Key Vault access and operations","Logging is enabled","rg-dm4-dev-eus","2026-02-02 15:28:23","Logging & Monitoring","Automated","Diagnostic settings: Configured","Info","Key Vault Logging","Key Vault","CIS 5.1.5","kv-dm4-dev-eus-e5rja"
